Locality,Latitude,Longitude,Post code,Avg. Price,SqftPrice Min,SqftPrice Max,Properties
Cidco,19.873993,75.36663,,"8,118","1,250","32,500",37
Kubhephal,19.867507,75.498763,,"3,379","1,789",6250,28
Padegaon,19.884706,75.290612,,"3,216","1,866",6538,26
MIDC,19.8930819,75.3577417,,"3,948","2,806",6849,24
Deolali,19.8503266,75.3509705,,"3,084",850,6265,24
Satara Parisar,19.8482848,75.2978043,,"3,469","1,562",5714,23
Garkheda,19.8607918,75.3460551,,"4,996",500,"9,000",21
Navkhanda,19.893724,75.3218114,431004,"3,636","3,636",3636,21
Waluj,19.8326736,75.1997415,,"3,303","2,462",7831,21
Ulkanagari,19.8630545,75.3370762,,"5,302","3,813",6308,18
Balapur,19.8420105,75.3645482,431007,"3,045","2,000",5441,17
Kanchanwadi,19.8362145,75.2797709,,"4,080","2,250",7647,15
Sundarwadi,19.858625,75.433061,431007,"3,003","2,250",3529,12
Chilkalthana,9.880425,75.3722188,,"4,020","2,062",7666,11
Naralibag,19.889129,75.316963,431001,"4,619","3,333",6250,8
Usmanpura,19.864257,75.3176637,,"4,506","3,503",5652,8
Shahnoorwadi,19.85889,75.3224496,431005,"4,780","3,367",8125,7
Harsul,19.917364,75.3367078,,"4,061","3,076",5833,7
Shahgunj,19.8849304,75.3297259,,"4,886","3,230",7905,6
Mukundwadi,19.8587276,75.363332,431007,"4,709","2,368",10500,6
Mahmoodpura,19.9146344,75.3302302,,"3,481","2,363",5916,5
Dharmapur,19.8556703,75.2569484,,"2,981","2,413",490,5
Begumpura,19.8985925,75.3134845,431004,"3,637","2,769",4511,4
Nirala Bazar,19.879517,75.3215806,431001,"4,469","4,347",4838,4
Jalan Nagar,19.8605525,75.2995229,,"4,195","2,930",5208,4
Itkheda,19.8444994,75.2957224,,"4,172","2,994",5250,4
Mirajgave Nagari,19.8529019,75.3387198,,"3,969","3,617",4181,3
Patoda,19.8322503,75.248348,431136,"3,061","2,411",4166,3
Sindhi Colony,19.8711531,75.3362622,,"4,832","3,000",6666,3
Bajaj Nagar,19.8430841,75.2290848,,"3,446","3,111",4117,3
Disha Nagari,19.848499,75.3152108,,"4,213","3,777",4666,3
Nakshatrawadi,19.8122997,75.2856907,431136,"3,905","2,603",6363,3
Gadia Vihar,19.8553605,75.3383266,431005,"5,084","4,000",5714,3
Prathamesh Nagar,19.8473637,75.3518103,431007,"6,041","2,625",10500,3
Farola,19.73126,75.2948651,431105,"3,125","3,125",3125,2
Ramanagar,19.870462,75.3311408,431001,"5,928","4,912",6944,2
Nagsenvan,19.8869015,75.3088473,,"12,000","12,000","12,000",2
Sangram Nagar,19.840713,75.3246238,,"2,795","2,062",3529,2
Chittegaon,19.7394956,75.2659598,431105,"3,125","3,125",3125,2
Banjara Colony,19.8788795,75.3298303,431001,"2,727","2,727",2727,2
